Trait,Breed,Ev
cca,OB,0.1539528337094988
ccc,OB,0.27655863368164635
cfa,OB,0.01742733404725139
cfc,OB,0.12154973117045832
cwa,OB,0.1539528337094988
cwc,OB,0.27655863368164635
cca,BV,0.15186369363776545
ccc,BV,0.2861327177587162
cfa,BV,0.02092827511445117
cfc,BV,0.1030789020925856
cwa,BV,0.15186369363776545
cwc,BV,0.2861327177587162
cca,SI,0.14226887362577106
ccc,SI,0.28138615290556535
cfa,SI,0.032979493646062036
cfc,SI,0.11971045329126503
cwa,SI,0.14226887362577106
cwc,SI,0.28138615290556535
cca,SF,0.15371536545181066
ccc,SF,0.29526428586061115
cfa,SF,0.01727295273959906
cfc,SF,0.08476774463555727
cwa,SF,0.15371536545181066
cwc,SF,0.29526428586061115
cca,MO,0.13860260188617077
ccc,MO,0.27334788674601457
cfa,MO,0.055848107551211175
cfc,MO,0.1202509151844182
cwa,MO,0.13860260188617077
cwc,MO,0.27334788674601457
